Designator,Mid X,Mid Y,Rotation,Layer
BZ1,111.5,-43.0,90.0,top
D1,102.19,-76.5,180.0,top
D2,121.19,-76.5,180.0,top
D3,140.19,-76.5,180.0,top
D4,102.19,-95.5,180.0,top
D5,120.69,-95.5,180.0,top
D6,140.69,-95.5,180.0,top
D7,102.0,-114.5,180.0,top
D8,121.19,-114.5,180.0,top
D9,140.19,-114.5,180.0,top
H1,84.5,-115.0,0.0,top
H2,83.5,-28.0,0.0,top
H3,156.0,-27.5,0.0,top
H4,155.5,-115.5,0.0,top
J1,94.5,-42.15,180.0,top
J2,150.0,-38.0,0.0,top
J3,150.0,-34.5,0.0,top
SW1,98.88,-64.99,0.0,top
SW2,117.88,-64.99,0.0,top
SW3,136.96,-64.99,0.0,top
SW4,98.88,-83.99,0.0,top
SW5,117.88,-83.99,0.0,top
SW6,136.88,-83.99,0.0,top
SW7,98.88,-102.99,0.0,top
SW8,117.96,-102.99,0.0,top
SW9,136.96,-102.99,0.0,top
U1,136.38,-43.12,90.0,top
